ROTATION,CROP,MON_1,DAY_1,MON_2,DAY_2,DATE_RULE,OPERATION,MGT_1,MGT_2,MGT_3,MGT_4,MGT_5,MGT_6,MGT_7,MGT_8,MGT_9
,,,,,,,Fraction,50,,,,,,,,
SWHT,SWHT,3,3,3,14,<,Fertilizer,Elem-N,,,50,0,,,,
SWHT,SWHT,3,3,3,14,p,Fertilizer,Elem-P,,,22,0,,,,
SWHT,SWHT,3,3,3,15,<,Tillage,Sprgplow,,,,,,,,
SWHT,SWHT,3,4,3,18,<,Plant,SWHT,,,1536,0,0,0,0,
SWHT,SWHT,5,14,6,7,n,Fertilizer,Elem-N,,,50,0,,,,
SWHT,SWHT,7,15,8,3,>,Harvest & Kill,,,,,,,,,
SWHT,SWHT,11,6,12,4,>,Tillage,Fallplow,,,,,,,,
SWHT,SWHT,,,,,,End of year,,,,,,,,,
WWHT,WWHT,,,,,,Initial crop,WWHT,1,200,1892,,,,,
WWHT,WWHT,3,5,3,20,<,Fertilizer,Elem-N,,,50,0,,,,
WWHT,WWHT,3,5,3,20,p,Fertilizer,Elem-P,,,22,0,,,,
WWHT,WWHT,4,14,5,6,n,Fertilizer,Elem-N,,,40,0,,,,
WWHT,WWHT,5,20,5,31,n,Fertilizer,Elem-N,,,30,0,,,,
WWHT,WWHT,7,9,7,24,>,Harvest & Kill,,,,,,,,,
WWHT,WWHT,9,22,10,18,>,Tillage,Fallplow,,,,,,,,
WWHT,WWHT,10,1,10,25,>,Plant,WWHT,,,1892,0,0,0,0,
WWHT,WWHT,,,,,,End of year,,,,,,,,,
CORN,CORN,3,14,4,25,<,Tillage,Sprgplow,,,,,,,,
CORN,CORN,3,14,4,26,<,Fertilizer,Elem-N,,,45,0,,,,
CORN,CORN,3,14,4,26,p,Fertilizer,Elem-P,,,35,0,,,,
CORN,CORN,4,10,4,30,<,Plant,CORN,,,1205,0,0,0,0,
CORN,CORN,6,10,6,30,n,Fertilizer,Elem-N,,,90,0,,,,
CORN,CORN,9,7,10,20,>,Harvest & Kill,,,,,,,,,
CORN,CORN,10,25,11,21,>,Tillage,Fallplow,,,,,,,,
CORN,CORN,,,,,,End of year,,,,,,,,,
SUNF,SUNF,3,23,4,11,<,Fertilizer,Elem-N,,,68,0,,,,
SUNF,SUNF,3,23,4,11,p,Fertilizer,Elem-P,,,26,0,,,,
SUNF,SUNF,4,7,4,14,<,Tillage,Sprgplow,,,,,,,,
SUNF,SUNF,4,7,4,15,<,Plant,SUNF,,,1454,0,0,0,0,
SUNF,SUNF,9,12,10,5,>,Harvest & Kill,,,,,,,,,
SUNF,SUNF,10,15,11,17,>,Tillage,Fallplow,,,,,,,,
SUNF,SUNF,,,,,,End of year,,,,,,,,,
SOYB,SOYB,4,1,4,15,<,Fertilizer,Elem-N,,,20,0,,,,
SOYB,SOYB,4,1,4,15,p,Fertilizer,Elem-P,,,28.6,0,,,,
SOYB,SOYB,4,21,4,30,<,Tillage,Sprgplow,,,,,,,,
SOYB,SOYB,4,22,4,30,<,Plant,SOYB,,,935,0,0,0,0,
SOYB,SOYB,9,11,10,3,>,Harvest & Kill,,,,,,,,,
SOYB,SOYB,11,1,11,18,>,Tillage,Fallplow,,,,,,,,
SOYB,SOYB,,,,,,End of year,,,,,,,,,
SGBT,SGBT,3,7,3,18,<,Fertilizer,Elem-N,,,100,0,,,,
SGBT,SGBT,3,7,3,18,p,Fertilizer,Elem-P,,,37.4,0,,,,
SGBT,SGBT,3,15,3,27,<,Tillage,Sprgplow,,,,,,,,
SGBT,SGBT,3,18,4,3,<,Plant,SGBT,,,2050,0,0,0,0,
SGBT,SGBT,10,20,11,10,>,Harvest & Kill,,,,,,,,,
SGBT,SGBT,11,12,11,25,>,Tillage,Fallplow,,,,,,,,
SGBT,SGBT,,,,,,End of year,,,,,,,,,
ALFA,ALFA,,,,,,Initial crop,ALFA,3,500,1258,,,,,
ALFA,ALFA,6,5,6,15,<,Harvest only,,,,0,0.9,,,,
ALFA,ALFA,7,5,7,12,n,Fertilizer,Elem-P,,,80,0,,,,
ALFA,ALFA,7,20,7,30,n,Harvest only,,,,0,0.9,,,,
ALFA,ALFA,8,20,8,27,n,Harvest only,,,,0,0.9,,,,
ALFA,ALFA,,,,,,End of year,,,,,,,,,
ORCD,ORCD,,,,,,Initial crop,ORCD,2,800,1730,,,,,
ORCD,ORCD,5,10,5,25,n,Fertilizer,Elem-N,,,70,0,,,,
ORCD,ORCD,5,10,5,25,n,Fertilizer,Elem-P,,,15.4,0,,,,
ORCD,ORCD,9,10,9,30,n,Harvest only,,,,0,0.6,,,,
ORCD,ORCD,,,,,,End of year,,,,,,,,,
FESC,FESC,,,,,,Initial crop,FESC,3,500,1585,,,,,
FESC,FESC,6,3,6,8,n,Fertilizer,Elem-N,,,30,0,,,,
FESC,FESC,6,3,6,8,p,Fertilizer,Elem-P,,,6.7,0,,,,
FESC,FESC,6,15,6,20,n,Harvest only,,,,0,0.9,,,,
FESC,FESC,8,1,8,5,n,Fertilizer,Elem-N,,,30,0,,,,
FESC,FESC,8,1,8,5,p,Fertilizer,Elem-P,,,6.7,0,,,,
FESC,FESC,8,15,8,20,n,Harvest only,,,,0,0.9,,,,
FESC,FESC,8,17,8,23,n,Fertilizer,Elem-N,,,30,0,,,,
FESC,FESC,8,17,8,23,p,Fertilizer,Elem-P,,,6.7,0,,,,
FESC,FESC,,,,,,End of year,,,,,,,,,
FESI,FESI,,,,,,Initial crop,FESI,3,500,1585,,,,,
FESI,FESI,4,12,4,17,n,Fertilizer,Elem-N,,,28,0,,,,
FESI,FESI,4,12,4,17,p,Fertilizer,Elem-P,,,7,0,,,,
FESI,FESI,5,17,5,23,n,Harvest only,,,,0,0.9,,,,
FESI,FESI,5,25,5,30,n,Fertilizer,Elem-N,,,28,0,,,,
FESI,FESI,5,25,5,30,p,Fertilizer,Elem-P,,,7,0,,,,
FESI,FESI,6,17,6,23,n,Harvest only,,,,0,0.9,,,,
FESI,FESI,6,25,6,30,n,Fertilizer,Elem-N,,,28,0,,,,
FESI,FESI,6,25,6,30,p,Fertilizer,Elem-P,,,7,0,,,,
FESI,FESI,7,17,7,23,n,Harvest only,,,,0,0.9,,,,
FESI,FESI,7,25,7,30,n,Fertilizer,Elem-N,,,28,0,,,,
FESI,FESI,7,25,7,30,p,Fertilizer,Elem-P,,,7,0,,,,
FESI,FESI,8,17,8,23,n,Harvest only,,,,0,0.9,,,,
FESI,FESI,8,25,8,30,n,Fertilizer,Elem-N,,,28,0,,,,
FESI,FESI,8,25,8,30,p,Fertilizer,Elem-P,,,7,0,,,,
FESI,FESI,,,,,,End of year,,,,,,,,,
GRAP,GRAP,,,,,,Initial crop,GRAP,2,700,900,,,,,
GRAP,GRAP,4,5,4,15,n,Fertilizer,Elem-N,,,70,0,,,,
GRAP,GRAP,4,5,4,15,n,Fertilizer,Elem-P,,,20,0,,,,
GRAP,GRAP,9,5,9,15,>,Harvest only,,,,0,0.3,,,,
GRAP,GRAP,,,,,,End of year,,,,,,,,,
FRST,FRST,,,,,,Initial crop,FRST,3,1000,2640,,,,,
FRST,FRST,,,,,,Skip,,,,,,,,,
FRSE,FRSE,,,,,,Initial crop,FRSE,4,1000,2840,,,,,
FRSE,FRSE,,,,,,Skip,,,,,,,,,
FRSD,FRSD,,,,,,Initial crop,FRSD,2,1000,2440,,,,,
FRSD,FRSD,,,,,,Skip,,,,,,,,,
URML,URML,,,,,,Skip,,,,,,,,,
URMD,URMD,,,,,,Skip,,,,,,,,,
UIDU,UIDU,,,,,,Skip,,,,,,,,,
WETL,WETL,,,,,,Skip,,,,,,,,,
WETN,WETN,,,,,,Skip,,,,,,,,,
WETF,WETF,,,,,,Skip,,,,,,,,,
OELK,OELK,4,16,4,25,<,Fertilizer,Elem-N,,,60,0,,,,
OELK,OELK,4,16,4,25,p,Fertilizer,Elem-P,,,60,0,,,,
OELK,OELK,4,24,5,2,<,Plant,OELK,,,1236,0,0,0,0,
OELK,OELK,9,10,9,21,>,Harvest & Kill,,,,,,,,,
OELK,OELK,11,5,11,23,>,Tillage,Fallplow,,,,,,,,
OELK,OELK,,,,,,End of year,,,,,,,,,
