land_use,management,weight,rules_static,rules_dynamic,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
SWHT,conv,1,slope <= 0.1,"(mmdd > 0303) * (mmdd < 0314) * (1 - lin_wgt(pcp, 2, 10))",fertilizer,Elem-N,,,50,0,,,,
SWHT,conv,1,slope <= 0.1,mmdd == prev_op,fertilizer,Elem-P,,,22,0,,,,
SWHT,conv,1,slope <= 0.1,"(mmdd > prev_op + 1) * (mmdd < 0315) * (1 - logit_wgt(pcp, 2, 10))",tillage,Sprgplow,,,,,,,,
SWHT,conv,1,slope <= 0.1,"(mmdd > prev_op + 1) * (mmdd < 0318) * (1 - logit_wgt(pcp, 2, 10))",plant,SWHT,,,1536,0,0,0,0,
SWHT,conv,1,slope <= 0.1,"(mmdd > 0514) * (mmdd < 0607) * (1 - lin_wgt(pcp, 2, 10))",fertilizer,Elem-N,,,50,0,,,,
SWHT,conv,1,slope <= 0.1,"(mmdd > 0715) * (mmdd < 0803) * (1 - lin_wgt(pcp, 2, 10))",harvest_kill,,,,,,,,,
SWHT,conv,1,slope <= 0.1,"(mmdd > 1106) * (mmdd < 1204) * (1 - lin_wgt(pcp, 2, 10))",tillage,Fallplow,,,,,,,,
SWHT,conv,1,slope > 0.1,"(mmdd > 0303) * (mmdd < 0314) * (1 - lin_wgt(pcp, 2, 10))",fertilizer,16-20-20,,,50,0,,,,
SWHT,conv,1,slope > 0.1,mmdd == prev_op,fertilizer,16-20-20,,,22,0,,,,
SWHT,conv,1,slope > 0.1,"(mmdd > prev_op + 1) * (mmdd < 0315) * (1 - logit_wgt(pcp, 2, 10))",tillage,Marker,,,,,,,,
SWHT,conv,1,slope > 0.1,"(mmdd > prev_op + 1) * (mmdd < 0318) * (1 - logit_wgt(pcp, 2, 10))",plant,SWHT,,,1536,0,0,0,0,
SWHT,conv,1,slope > 0.1,"(mmdd > 0514) * (mmdd < 0607) * (1 - lin_wgt(pcp, 2, 10))",fertilizer,16-20-20,,,50,0,,,,
SWHT,conv,1,slope > 0.1,"(mmdd > 0715) * (mmdd < 0803) * (1 - lin_wgt(pcp, 2, 10))",harvest_kill,,,,,,,,,
SWHT,conv,1,slope > 0.1,"(mmdd > 1106) * (mmdd < 1204) * (1 - lin_wgt(pcp, 2, 10))",tillage,Marker,,,,,,,,
WWHT,conv,1,,,initial_crop,WWHT,1,200,1892,,,,,
WWHT,conv,1,,<,fertilizer,Elem-N,,,50,0,,,,
WWHT,conv,1,,p,fertilizer,Elem-P,,,22,0,,,,
WWHT,conv,1,,n,fertilizer,Elem-N,,,40,0,,,,
WWHT,conv,1,,n,fertilizer,Elem-N,,,30,0,,,,
WWHT,conv,1,,>,harvest_kill,,,,,,,,,
WWHT,conv,1,,>,tillage,Fallplow,,,,,,,,
WWHT,conv,1,,>,plant,WWHT,,,1892,0,0,0,0,
CORN,conv,1,,<,tillage,Sprgplow,,,,,,,,
CORN,conv,1,,<,fertilizer,Elem-N,,,45,0,,,,
CORN,conv,1,,p,fertilizer,Elem-P,,,35,0,,,,
CORN,conv,1,,<,plant,CORN,,,1205,0,0,0,0,
CORN,conv,1,,n,fertilizer,Elem-N,,,90,0,,,,
CORN,conv,1,,>,harvest_kill,,,,,,,,,
CORN,conv,1,,>,tillage,Fallplow,,,,,,,,
SUNF,conv,1,,<,fertilizer,Elem-N,,,68,0,,,,
SUNF,conv,1,,p,fertilizer,Elem-P,,,26,0,,,,
SUNF,conv,1,,<,tillage,Sprgplow,,,,,,,,
SUNF,conv,1,,<,plant,SUNF,,,1454,0,0,0,0,
SUNF,conv,1,,>,harvest_kill,,,,,,,,,
SUNF,conv,1,,>,tillage,Fallplow,,,,,,,,
SOYB,conv,1,,<,fertilizer,Elem-N,,,20,0,,,,
SOYB,conv,1,,p,fertilizer,Elem-P,,,28.6,0,,,,
SOYB,conv,1,,<,tillage,Sprgplow,,,,,,,,
SOYB,conv,1,,<,plant,SOYB,,,935,0,0,0,0,
SOYB,conv,1,,>,harvest_kill,,,,,,,,,
SOYB,conv,1,,>,tillage,Fallplow,,,,,,,,
SGBT,conv,1,,<,fertilizer,Elem-N,,,100,0,,,,
SGBT,conv,1,,p,fertilizer,Elem-P,,,37.4,0,,,,
SGBT,conv,1,,<,tillage,Sprgplow,,,,,,,,
SGBT,conv,1,,<,plant,SGBT,,,2050,0,0,0,0,
SGBT,conv,1,,>,harvest_kill,,,,,,,,,
SGBT,conv,1,,>,tillage,Fallplow,,,,,,,,
ALFA,conv,1,,,initial_crop,ALFA,3,500,1258,,,,,
ALFA,conv,1,,<,harvest_only,,,,0,0.9,,,,
